"REF_DATE","GEO","DGUID","Type of direct investment","Countries","Type of direct investment flows","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","333","","","","0"
"2009-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","20775","","","","0"
"2009-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3844","","","","0"
"2010-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","-245","","","","0"
"2010-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","2365","","","","0"
"2010-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6251","","","","0"
"2010-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","16392","","","","0"
"2011-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","5606","","","","0"
"2011-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","-1639","","","","0"
"2011-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","8523","","","","0"
"2011-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3527","","","","0"
"2012-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","4406","","","","0"
"2012-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3555","","","","0"
"2012-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","11053","","","","0"
"2012-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3868","","","","0"
"2013-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","1094","","","","0"
"2013-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3597","","","","0"
"2013-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","10293","","","","0"
"2013-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","4556","","","","0"
"2014-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3549","","","","0"
"2014-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","4039","","","","0"
"2014-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6508","","","","0"
"2014-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","24857","","","","0"
"2015-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","5198","","","","0"
"2015-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","22843","","","","0"
"2015-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","22417","","","","0"
"2015-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6148","","","","0"
"2016-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","10522","","","","0"
"2016-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","12422","","","","0"
"2016-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","19496","","","","0"
"2016-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","15455","","","","0"
"2017-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","37662","","","","0"
"2017-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","10857","","","","0"
"2017-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","9357","","","","0"
